discussion,role
Уплата налога на прибыль иностранным представительством ,1
Особенности учета в автосервисе ,1
Больничный во время отпуска ,1
Остаток 90.09 по дебету НУ не закрыт ,1
Аренда автомобиля ,1
Начислены пени. Правомерно? ,1
Аренда транспортного средства у физического лица ,1
Дивиденды за 2018г ,1
Удаленная ККТ и оплата на Р/С ,1
Не принимают РСВ за полугодие из-за округления общей суммы взносов ,1
Покупка права аренды земельного участка ,1
"Правильно учесть затраты по 20 счету 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Подписание документов за прошлые периоды через ЭДО ,1
Медосмотр и путевой лист ,1
ГСМ на УСН ,1
"Отгрузили товар полностью, а в упд указали не полное количество,,,, ",1
Увольнение по строчному трудовому договору ,1
Учет дохода ИП дважды ,1
БСО в 2020г. Можно ли применять на бумажном носителе? ,1
Интернет магазин и УСН ,1
"Как вернуть аванс, если невозможно пробить чек возврата по онлайн-кассе ",1
Вычет ндс ,1
РСВ с пониженными взносами за полугодие ,1
"1c облако 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Корректировочный счёт-фактура ,1
Журналы по коронавирусу ,1
Под отчёт ,1
Пониженные тарифы за июль ,1
"НДС и патент 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Поступление на расчетный счет отфизика ,1
Электронный документооборот ,1
"Большая сумма НДС за квартал, как быть? ",1
Оплата ночных часов за 01.07.20 - не начисляется в двойном размере ,1
1C ЗУП 8.3 не проводит документ ,1
ФСС придирается к зарплате при работе по графику 2/2 ,1
Тестировщик мобильных приложений самозанятый ,1
Неверное начисление взносов июль 2020 ,1
Расчет пенсионных баллов в связи со снижением страховых взносов МСП ,1
Нужен ли счёт/договор как основание оплаты ,1
Как расчитать среднюю заработную плату на сотрудника ,1
"Имеет ли право НКО, относящаяся к пострадавшим отраслям, применять пониженный тариф страховых взносов с июля 2020 года? ",1
"Вопрос по аудиту и документам, - копии, не вполне раскрывающие суть, итд усн Упрощенная система управления ",1
Договор на оказание транспортных услуг: расходы за счет заказчика - какими документами отразить в учете списание ГСМ и как оформить это списание? ,1
Не заполняется 6-НДФЛ в ЗУпе ,1
Курс евро при экспорте ,1
Нужен ли СЗВ-ТД без трудового договора ,1
УНФ и прием платежей от населения: ПКО или РМК ,1
"ККТ все так? Подскажите если что упущено, пожалуйста ",1
ФСС отказал в возмещении декретных ,1
Функции онлайн-кассы mspost-е-ф. СКБ Контур. Признак способа расчета ,1
Вопрос по 1С УНФ 1.6 ,1
"ООО поступление денег не постоянное, как лучше вывести остаток долгов по сборам? ",1
Переработке давальческого сырья через посредника ,1
УПД отгрузка алкоголя ,1
6-НДФЛ за 1-й квартал сдана позже чем за 2-й квартал ,1
Больничный ошибка ,1
"Отчетность физлица с двойным гражданством по фирме, открытой в Болгарии ",1
Отражение услуг связи в бухучете ТСЖ ,1
Помощь начинающим и уже профессиональным бухгалтерам усн Упрощенная система управления ,1
Смена юр.адреса ,1
Снова про аренду авто и путевые листы ,1
Корректировка 1 раздела РСВ ,1
Налоги и отчеты если есть обособленное подразделение ,1
"3-ндфл (совместная собственность, п.1.12 сумма расходов) ",1
"ИП, получение оплаты от физического лица за выполненную услугу ",1
Уточнённая РСВ за 1 кв 2020. Отказ в приеме ,1
Проблема со взносом от учредителя ,1
Уплата налога ЮЛ за ФЛ проводки ,1
НДС при продаже ПЭТ ,1
ОСНО: что сдаем за 2 квартал (1 полугодие) 2020 г ,1
Сводные таблицы из нескольких файлов в экселе ,1
Смена юр. адреса организации ,1
Учет чужого имущества ,1
Срок хранения документов ,1
Ваши первые шаги в бухгалтерии ,1
Обмен данными с сайтом ,1
Движимое или недвижимое имущество как понять? ,1
ПФР - письмо о корректировке данных за 2010 год ,1
Заполнение книги КУДИР . в 1 с Бухгалтерия 8.3 не попадают возвраты ,1
Оборотно-сальдовые ведомости по счетам 50 и 51 ,1
Учёт 10.07 ,1
Переплата по взносам (зачет в счет будущих платежей по заявлению или автоматически) ,1
Отражение аванса у турагента УСН 6% ,1
Составление 6-НДФЛ в ЗУП 3.1 при смене ИФНС ,1
Заполнение табеля учета рабочего времени ,1
Взносы и НДФЛ к уплате ,1
Применение ККТ на ЕНВД грузоперевозки ,1
Требование от налоговой ,1
"Можно ли принять в расходы сумму по налогу на прибыль, подтвержденную отчетом о расходовании денежных средств ",1
Систематически не пробивались чеки по онлайн кассе а по терминалу проходили ,1
Корректировочный РСВ - как исправлять ошибку? ,1
МТС-касса и бедные мы ,1
Аптеки после 1 июля 2020г усн Упрощенная система управления ,1
СНТ. Мы не отчитывались ,1
Расторжение договора уступки ,1
Заполнение декларации по налогу на прибыль ,1
НДФЛ с субсидии ,1
Отчеты По северным ,1
Покупка авто из подотчетных денег (подотчет директора) ,1
Синхронизация ЗУП с БП ,1
РСВ раздел 1 прил. 1 не отражаются взносы по основному тарифу ,1
Бухучет в кафе-баре ,1
Поступление товара НДС 10% ,1
Оплата от юрлица за физлицо - кассовый чек? ,1
"ОКВЭД из пострадавшей отрасли, а фактическая деятельность в другой сфере ",1
Требуется помощь в разноске валютных счетов удаленно платно ,1
"РСВ, ВНиМ, ГПХ - как заполнять? ",1
Электронный билет по командировке ,1
"КНП по НДС. Налоговая запросила данные сотрудников, правомерно ли это ",1
НДС 10% на детскую одежду ,1
НДС от переуступки ДДУ в расходы по прибыли ,1
Уведомление об уточнении налоговой декларации по РСВ ,1
Приобретение дорогого смартфона ,1
Можно ли зачесть убыток прошлых лет в декларации по прибыли начиная не с самого старого ,1
Дата в поле 120 НДФЛ-6 ,1
Отчет по налогу на прибыль лист 02 ,1
HELP! Что с этим делать? ,1
Налоговая декларации по прибыли за 1 кв. по ОП ,1
Аренда земли физлицом юридическому лицу ,1
Зарплата директора единственного учредителя ,1
Гпх в 6 ндфл хелп! ,1
Почему не попадает в книгу покупок аванс ,1
"Возврат материалов, не соответствующих договору ",1
Ошибка в дне рождения сотрудника ,1
Документы о получении дохода от иностранных фирм ,1
Отражение ГПХ в СЗВМ ,1
Курс валюты при экспорте в евро в 1С 8.2 ,1
Учет взносов в 1С ,1
Налог на доход иностранной организации по долговым обязательствам ,1
Оформление путевого листа ,1
"Должна ли организация, именуемая аварийно-восстановительной службой, выдавать кассовые чеки в 2020 году? ",1
"Зависли отчеты РСВ (Москва, субъект МСП) ",1
Заполнение Приложения 3 к Разделу 1 РСВ за полугодие 2020 года ,1
СЗВ ТД Новая фирма ,1
За 2 квартал большой налог на прибыль! ,1
Есть ли опасность обвинения в дроблении? ,1
"Ндфл не удержан с арендной платы ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Счёт на благоустройство территории ,1
"РСВ за 2 кв., единственный сотрудник уволился, ИП ",1
Вычет НДС 20% при ведении деятельности по ставке 10% ,1
Компенсация автомобиля ,1
Заполнение 3 раздела в РСВ за полугодие ,1
Штрафы за нарушение условия договора при экспорте в Белоруссию ,1
В какие сроки списывать невостребованную кредиторку? ,1
"Звоночек в теме налоговых внутренних ""офшоров"" ",1
Вакцинация от кори УСН доходы минус расходы ,1
Исправление декларации по НДС ,1
"Договор ГПХ. Как провести разовый аванс в ЗУП? 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Автосервис на ЕНВД ККТ ,1
Поручительство ,1
Патент и пострадавшая отрасль ,1
Срок перечисления НДФЛ по мартовскому отпуску ,1
Применение онлайн-ККТ при получении ООО займа от частного лица ,1
Опять заявление на субсидию ,1
Признание в расходах ОС ,1
Материальная помощь без колдоговора ,1
Заполнение декларации по налогу на прибыль ,1
Заполнение декларации ндс ,1
Срок проверки стажа в ПФР ,1
Субконко в 1с ,1
"Как заполнить РСВ за полугодие,если не применялись пониженные тарифы ,а ИП относится к МСП и ОКВЭД к пострадавшим? ",1
Акт сверки взаиморасчетов с контрагентом ,1
РСВ численность по разным тарифам ,1
Замена вкладов в простом товариществе ,1
Доход по неосновному ОКВЭД ,1
Смена ФНС и 6-НФДЛ ,1
Ошибка в 6 ндфл ,1
Отмена страховых для пострадавших ,1
№ первичного документа при доходе в валюте усн Упрощенная система управления ,1
Списание кредиторки ,1
Возврат поставщику ,1
Как в 1С 3.0 вводить чек с несколькими позициями в авансовый отчет? ,1
Закрывающие документы ,1
Соглашение о рассрочке выплаты действительной доли вышедшему участнику ,1
Как теорию по бухучету совместить с практикой в 1С? ,1
Корректировка поступления 2019 года в 2020 году ,1
Не проходит удержание за исп.листу при начислении за 1 пол месяца ,1
Поставка покупателем за счет продавца НДС ,1
Срок перечисления налога в 6-НДФЛ ,1
Требование ИФНС (слить базу покупателей) ,1
2 пониженных тарифа страховых взносов ,1
"Обосновать, что созданные апартаменты - не товар. ИП на УСН купил нежилое помещение и разделил ип Индивидуальный предприниматель усн Упрощенная система управления ",1
Частичная реализация товара без перехода права собственности (Wildberries) ,1
РСВ 2020 мсп (при превышении предельной) ,1
"Запрос в ПФР о доходах работника. У кого есть опыт, поделитесь))) больничный Больничный лист — официально «листок нетрудоспособности» — это документ, который оформляет медорганизация. Он дает право временно не ходить на работу и получить денежную компенсацию за вынужденный простой. ",1
Больничный во время отпуска ,1
Можно ли учесть в расходах товарные остатки при переходе с ЕНВД на УСН? ,1
Главный бухгалтер ,1
Поступление от Главпункт ,1
Меры поддержки арендодателей в Москве ,1
Затраты на логистику от физического лица ,1
"ИП на ОСНО (услуги) без ОК, но с эквайрингом ",1
ЗиУП 3.1. начисление страховых взносов за июль по пострадавшей отрасли ,1
"Расчет по страховым взносам 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Районный коэффициент!Не знала что нужно начислять! ,1
Пересчет земельного налога ,1
4 ФСС не могу отредактировать фирму ,1
Списание 41 счета в 90.02 ,1
6-НДФЛ и стр. 120 у непострадавших ,1
Не заполняются платежки в 4 ФСС ,1
НДС к возмещению ,1
Налог на прибыль ежемесячные платежи ,1
Составление 2-НДФЛ ,1
Срок использования ОС ,1
Суточные водителям ,1
Может быть различная налоговая ставка в декларации УСН? ,1
ООО нет в реестре малых предприятий ,1
Учет НМА ,1
Корректировка поступления ,1
Северные отчеты ,1
Запоздалое списание материалов ,1
Зачет НДС с аванса при уступке покупателем ,1
Восстанавливается НДС с аванса при отсутствии поступления ,1
Учет зачислений на физ счет в Книге доходов и расходов ,1
"Не закрывается счет 60, висит сальдо по Д и К одного контрагента ",1
ИП на патенте Москва (частный детский сад) Онлайн касса ,1
Корректировка реализации в сторону уменьшения ,1
Лишняя сумма в лк налог.ру ,1
Расходы во время нерабочих дней ,1
"Как в 1с Бухгалтерия 3.0 удалить регламентированный отчёт? 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Срок сдачи СЗВ-ТД при выборе способа ведения трудовой ,1
"Общепит, продажа АП при окаказнии услуг питания юрлицам ",1
"Запрос ""вне рамок"" ",1
Переупаковка товара - давальческое или нет ,1
Новые ставки по страховым взносам с 01.04.20г ,1
Как применить пониженные тарифы страховых взносов в размере 0 % ,1
Коды в платежном поручении с 01.06.20г ,1
Тн и ттн ,1
Автономное учреждение ,1
Ремонт ТС на ЕНВД без ККТ для ЮЛ-что выдавать? ,1
При заполнении декларации по налогу на прибыль в 1С 3.0 возникает ошибка: что делать? ,1
"Формирование записей книги покупок и книги продаж в 1С 8.3 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Снятие с учета плательщика ЕНВД и нерабочие дни (апрель 2020) ,1
"Участник общества и доля от прошлого участника 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Освобождение от уплаты налогов за 2 квартал 2020г ,1
ООО на ОСНО осуществляет экспорт пиломатериалов с помощью иностранного перевозчика — физлица: каковы особенности налогообложения? ,1
Больничный лист и пониженные тарифы ,1
Вопросы по сдаче отчетности при ликвидации ,1
Вопрос по отчетности при перечислении денежных средств участникам ООО при обнулении расчетного счета при ликвидации ООО ,1
Форма п-5м в статистику ,1
Имеет ли права налоговая требовать предоставление документов за 4 квартал 2019 года при камеральной проверке декларации по НДС за 1 квартал 2020 года? ,1
Интернет-магазин система налогообложения ,1
Перенос данных из 1с Управление торговлей в 1с бухгалтерию ,1
Списание прямых затрат при поэтапной сдаче работ ,1
ЕНВД совместно с УСН 6% ,1
Онлайн-касса ,1
Распределение затрат при поэтапной сдаче работ ,1
Распределение прямых затрат в строительстве ,1
РСВ при отсутствии начислений в 1 квартале 2020 г ,1
ЖСК и льготы ,1
24 июня ,1
"Поле объекта не обнаружено (П000310003001) ЗУП 2.5 КОРП расчет по страховым взносам 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
"Списание дебиторки, что делать с НДС ",1
Декларация ЕНВД за 2 кв. 2020 ,1
Земля в аренду что надо сделать? ,1
"Зарплата и управление персоналом, редакция 3.1 (3.1.14.61) средний расчеты за апрель ",1
Расчет и выплата отпускных в связи с карантином ,1
Товары в пути ,1
"Баланс не идет на сумму задолженности по 69, 69 счетам ",1
Выплата декретных и больничных с 1 января 2021 года ,1
"HELP! Код строки в регламентированной Бух отчетности 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Кредит господдержка 2% ,1
"НДС с импорта, отправка ",1
"НДС к вычету по расходам, которые будут возмещены страховой компанией ",1
Субсидии за июнь ,1
"Может ли физлицо учесть расходы при продаже помещения, часть которого использовалась в предпринимательской деятельности? ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Требование от ИФНС. Сижуи думаю ,1
"Субагент и агент, кто выдает чек? ",1
ООО ОСНО исковое требование удовлетворено частично проводки ,1
ООО ОСНО Упрощенна декларация или Декл.по прибыли ,1
Как учесть расходы по безвозмездному содержанию породистых собак на предприятии ,1
Продажа оборудования сразу после выкупа предмета лизинга ,1
РСВ за 6 месяцев 2020 в раздел 3 коды для жителя Казахстана ,1
Отчетность по подакцизному товару ,1
"Общепит на УСН доходы-расходы , как настроить выгрузку и учет в 1С усн Упрощенная система управления ",1
Уволиться до того момента как узнала что беременна ,1
Расчет по страховым взносам за 1 полугодие 2020 ЗиК поле объекта не обнаружена (П000310003001) ,1
Зачет вклада в имущество и предоставленного займа проводки ,1
Нужна ли ккт? ,1
Переход с ЕНВД на УСН ,1
6-НДФЛ 1 квартал 2020 года ,1
НДС по услугам по международному контракту включенным в стоимость оборудования ,1
Продажа квартиры физлицу: как оформить чек? ,1
Начисление премии ,1
"НДФЛ с ""аванса"" отражение в 6-НДФЛ ",1
Требование по декларации по налогу на прибыль ,1
"Принят к вычету ""лишний"" НДС с аванса ",1
Метод объекта не обнаружен ,1
Код категории застрахованного лица у граждан ЕАЭС в разделе 3 Расчета по страховым взносам ,1
Дата в счет-фактуре ,1
Как принять входящие накладные от поставщиков табака ,1
Выездная ФСС ,1
УПД с НДС как заносить в 1С неплательщикам НДС усн Упрощенная система управления ,1
"Платежка в РБ, в 1С 8.3 ",1
Счет 57.1 с отрицательным остатком ,1
К какой амортизационной группе отнести ОС? ,1
Нужна помощь в понимании операций по агентскому договору ,1
Упрощенная финотчетность микропредприятия ,1
"Пособие по уходу за ребенком до 1,5 лет ",1
"Вопрос про ИП, НДФЛ и оплату товаром ",1
Производство одежды на аутсорсе ,1
ПФР штрафует за несвоевременное представление сведений по форме СЗВ-М за Март 2020 г ,1
Возвращаем бракованный импорт и безвозмездно получаем другой товар - налог на прибыль ,1
Не сдавать отчетность ,1
Проверка договора купли-продажи между ООО и физиком ,1
Производственный учет ,1
Использование кассы при погашении нецелевого займа ,1
Квартальная премия в 6 НДФЛ ,1
Не согласны с бухгалтером по возмещению НДС ,1
Заявление о зачёте переплаты по взносам за апрель 2020 года ,1
ЕСХН и аренда ,1
1С БП 3.0. Возврат переплаты ,1
Юридический адрес ООО не по прописке директора ,1
ЕНВД 1-й квартал и 1% за 2019 год ,1
"Учетная политика, изменения в середине года ",1
Страховые 15% ,1
Требование по вычету-НДС по сроку исковой давности ,1
Мировое соглашение и УСН усн Упрощенная система управления ,1
1% св.300 т.р. ПФ взносы (порядок Неуплаты) ,1
Передача имущества с наименьшими потерями ,1
"""Без НДС"" при печати чека позже реализации ",1
"Подделали ЭЦП, повесили 100млн, и сдали нулевки ",1
Как посчитать прибыль на УСН доходы? ,1
"Фиксированные взносы, 2 квартал, возврат ",1
Нужно ли платить страховые взносы с компенсации за неиспользованный отпуск при увольнении во 2 квартале пострадавшей отрасли ,1
Корректировка 2-НДФЛ ,1
Адвокатский кабинет ,1
Налог по Енвд если применяли не с начала квартала ,1
Компенсация за использование авто ,1
Ип усно эдо задним числм ,1
Учет расходов при продаже акций российской компании при потере права на УСН доходы ,1
Такси. Оформление расходов ,1
Приход денег в кассу разрыв по времени как убрать ,1
Какой срок ответа налоговой на письмо с просьбой о возврате излишне уплаченного НДФЛ? ,1
Торг-12 сумма к вычету ,1
Камеральная проверка по ЕНВД и данные прошлых лет ,1
Взносы страховые от несчастных случаев в ФСС за 2 квартал 2020 ,1
Задвоение декларации ,1
Указание ЦБ 5286-У с 01.06.2020 - код вида дохода в ПП ,1
Платить или не платить аванс за 1 квартал 2020 усн Упрощенная система управления ,1
Субсидии и проводки ,1
Уволилась бухгалтер ,1
Договор ГПХ- нужно мнение или совет ,1
Полученный Займ от ИП ,1
Аванс и удержания Службой судебных приставов ,1
Списание дебиторки в 2020 в связи с ликвидацией дебитора в 2019 ,1
"Сумма пособия до 1,5 лет уменьшает налог по УСН 6%? ",1
"Сшиваем документы, как правильно? ",1
Требования ИФНС ,1
Постановка на учет ОС при усн (д-р) если стоимость ОС 100 000 и как отразить в 1 с 8.3. Бухгалтерия ,1
Списание долгов ,1
Больничный по беременности и родам после родов ,1
Уменьшение ЕНВД и УСН на сумму взносов за сотрудников ,1
СЗВ-ТД по выбору формы ведения ТК ,1
Упрощенная бухотчетность у микропредприятия УСНО 15% ,1
Подтверждающие документы по авансовому отчету ,1
Адрес в УПД ,1
Уплата взносов ,1
"Как рассчитать пособие по уходу за ребенком до 1,5 лет для двойни? ",1
Помогите найти бланк в word или excel ,1
Возврат займа учредителю-физлицу ,1
Опыт работы с БЕРУ ,1
Возмещение расходов сотруднику ,1
Как обезопасить невыплату заработной платы 2 раза в месяц? ,1
ЕНВД отчетность 2 квартал ,1
"Доплата отпускных за прошлый год, НДФЛ ",1
WildBerries оферта с середины месяца ,1
Сведения о стаже по внешнему совместителю ,1
Возврат процентов по ипотеке ,1
Пособие по уходу за ребенком после повышения ,1
Учет в общепите ,1
НДС при возмещении коммунальных ,1
СЗВ КОРР за 2000 и 2001 года ,1
Налоги ,1
Особенности оформления счфк у тех. заказчика ,1
Возврат излишне уплаченной суммы ФСС по б/л 65+ (учет в казенном учреждении) ,1
Требование налоговой ,1
Ошибки БУ и НУ здания ,1
Заявление от сотрудников до 30.06 ,1
Уведомление из ПФР ,1
НДС за услуги нерезидента (налоговый агент) ,1
Как объяснить налоговой корректировку декларации по НДС? ,1
Отмена увольнения ,1
Налогообложение услуг такси ,1
Дивиденды за год/1квартал ,1
Оформление Яндекс.Драйв ,1
Засчет первоначального платежа лизинга на затраты ,1
ЕНВД салон красоты- открытие второй точки ,1
Требование по НДС ,1
Учет расходов в виде процентов при приобретении имущественных прав ,1
Документы к договору ответственного хранения ,1
Ввод остатков.Ошибка ,1
Счета-фактуры за какой период можно уничтожить в 2020 году ,1
Прибыль по итогам года ,1
Новый отчет в центр занятости ,1
Как отразить в 1С покупку призов для розыгрыша? ,1
"Онлайн ККТ, на какую сумму пробить чек ",1
"Настройка учетной политики, себестоимости готовой продукции ",1
ЧОУДО не попало в реестр пострадавших от коронавируса НКО: куда обращаться? ,1
Пониженные страховые взносы ,1
Ошибка в декларации по налогу на прибыль ,1
Выгрузка из Меркурия в эксель ,1
Заявление в ПФР ,1
Камералка УСН 2019 ,1
Инвестиции УСН усн Упрощенная система управления ,1
Корректировка ндс ,1
Зарплата каждые 2 недели ,1
Выплата зарплаты в условиях нерабочих дней ,1
Физлицу не возвращают налог по 3 ндфл ,1
Размещенеие на федресурсе ,1
Сведения на сайте Работа в России в связи с коронавирусом ,1
Просрочена сдача отчетности в ФСС ,1
Сколько можно просить за работу бухгалтера ,1
Доля налоговой базы в отчете по прибыли ,1
В банковском терминале (эквайринг) 2 организации. перепутали оплаты ,1
"Канцтовары, бумага для работы и налог на прибыль ",1
Внесение займа у учредителя ,1
Северная зп ,1
Касса R-keeper. Не сходятся данные по офд Ккм и эквайринг ,1
Учет лизинговых платежей ,1
Отпуск с конца июня в пострадавшей организации. По каким ставкам начислять взносы ,1
Закрытые подразделения на учете в Росстате ,1
Кого указывать грузоотправителем в ТОРГ-12 при отгрузке товара со склада филиала? ,1
"Подотчетное лицо, доверенность, реквизиты на чеке ",1
1С Файл - Сохранить как. Где это теперь ,1
Заявление на патент с 01.07.20 ,1
Касса.Возмещение ущерба работником ,1
Отпуск и аванс/зарплата ,1
Как отразить НДС при реализации через посредника ,1
Потребительский кооператив. Какие отчеты сдавать ,1
Превышение лимита по УСН в 4 кв. 2019г. как отчитываться по УСН или ОСН за весь год? ,1
"Маркировка обуви, ЕНВД и УСН в одной торговой точке ",1
Прочерки в первичных учётных документах ,1
ЕГАИС. Общепит. Акты списания проводятся успешно. Алкоголь не списывается ,1
Онлайн-касса при пассажирских перевозках ,1
Дата постановки на учет нематериального актива ,1
Возврат или зачет переплаты по НДФЛ ,1
Электронная книга и интернет магазин-какие основания для постановки на учет?! ,1
Как учредителю с долей 100% простить долг фирме? ,1
Переуступка права требования ,1
Корректировка ОКВЭД на пострадавшую отрасль ,1
Учет в строительстве ,1
Облагается ли аренда имущества у физ.лица страховыми взносами? ,1
Корректность отражения операций на счетах бух учета ,1
Пояснения в налоговую по доходам и расходам ,1
Не сдан отчет по страховым взосам ,1
Уровень зарплаты ниже среднеотраслевой по виду деятельности: как составить пояснения в ИФНС? ,1
Декрет 2020 год ,1
Освобождение от налогов ,1
Пособие по беременности и родам ,1
Косвенные и прямые затраты в строительстве у Подрядчика ,1
Вычет страховых взносов для ИП УСН 6% в 2020 году усн Упрощенная система управления ,1
Уменьшение ЕНВД организацией с работниками на страховые взносы ,1
"Можно ли принять к вычету НДС за услуги, работы которые необходимы на протяжении всего строительства не дожидаясь сдачи работ ? ",1
Не получается привести ОКТМО к нужному ,1
Ндс аансовые ,1
Расчет среднего для отпускных в июне-считать с учетом ОН дней или исключать из расчета? ,1
"Была подана левая отчтеность по НДС за нас, что делать? ",1
Сзв-тд ,1
Перерасчет НДФЛ за 2019 год ,1
Налоговая нагрузка за 2019г ,1
Код вида дохода при перечислении детских пособий - 2 или 3? ,1
Обособленное подразделение или отдельное юридическое лицо ,1
Анализ выплаченной заработной платы по дням. ЗИК 1С3.1 (3.1.13.220) ,1
СЗВ-ТД и ГПХ ,1
"УСН Д-Р 15% ( Инвентаризация - потери, можно ли учесть?) ",1
Расчет выходного пособия при сокращении ,1
Из декрета в декрет  ,1
Вопрос по Учредителям ,1
Расчет выходного пособия при увольнении (сокращение численности) ,1
Отказали в субсидии ,1
ИП как работодатель и гпх ,1
Убыток / проводки ,1
Возврат займа ,1
Учет лизинга ТМЦ (до 40 т.р.) у лизингополучателя ,1
"Субсидии, увольнение или сокращение штатов ",1
Как корректно вписать в форму с 8 полями 23 значения? (уведомление от обкрытии счета за пределами рф) ,1
Оплата ЗП ,1
"Требование по 2НДФЛ за 2018 год по ""нерожденным"" паспортам ",1
Заявление на предоставлении субсидии ,1
